MONDAY  12 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Albany Highway,Kelmscott,Marmion Avenue,Kinross
Alexander Drive,Inglewood,Mt Lawley Senior High,Mount Lawley
Alexander Drive,Landsdale,Nicholson Road,Forrestdale
Bannister Road,Canning Vale,North Beach Primary,North Beach
Beeliar Drive,Yangebup,Phoenix Road,Hamilton Hill
Canning Highway,Attadale,Railway Road,Daglish
Chittering Road,Bullsbrook,Rockingham Road,Wattleup
Corpus Christi College,Bateman,Rockingham Road,Spearwood
Crystal Brook Road,Wattle Grove,Santa Maria College,Attadale
Ellen Stirling Primary,Ellenbrook,Shenton Avenue,Connolly
Ennis Avenue,Warnbro,South Street,Murdoch
Glengarry Drive,Duncraig,South Street,White Gum Valley
Gnangara Road,Ellenbrook,Stirling Highway,North Fremantle
Good Shepard Primary,Kelmscott,Stoneville Road,Stoneville
Great Eastern Highway,Rivervale,Thomas Street,Kings Park
Great Eastern Highway,Mundaring,Tonkin Highway,Southern River
Great Northern Highway,Bullsbrook,Tranby Primary,Rivervale
Illawarra Primary,Ballajura,Vahland Avenue,Riverton
Karrinyup Road,Karrinyup,Warnbro Community High,Warnbro
Kwinana Freeway,Wellard,Warton Road,Canning Vale
Leach Highway,Welshpool,Warwick Road,Greenwood
Leda Primary,Leda,Welshpool Road East,Lesmurdie
TUESDAY  13 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Abernethy Road,Kewdale,Leach Highway,Welshpool
Abernethy Road,Forrestfield,Lefroy Road,Beaconsfield
Acourt Road,Canning Vale,Mandjoogoordap Drive,Meadow Springs
Armadale Road,Armadale,Marmion Avenue,North Beach
Ashdale Primary,Darch,Mitchell Freeway,Joondalup
Beechboro Christian,Beechboro,Mitchell Freeway,Heathridge
Bicton Primary,Bicton,Morley Drive,Dianella
Cockburn Road,North Coogee,North Lake Road,Cockburn Central
Dundas Road,Forrestfield,Ocean Reef Road,Wanneroo
Emmanuel Catholic,Beeliar,Orelia Primary,Orelia
Forrestfield Primary,Forrestfield,Preston Point Road,Bicton
Frederick Irwin Anglican,Mandurah,Reid Highway,Bennett Springs
Grand Promenade,Dianella,Rockingham Road,Henderson
Great Eastern Highway,Burswood,Scarborough Beach Road,Scarborough
Great Northern Highway,Baskerville,Shepperton Road,Burswood
Gugeri Street,Claremont,South Street,O'Connor
Gwynne Park Primary,Brookdale,Tonkin Highway,Forrestfield
High Road,Willetton,Vahland Avenue,Riverton
Holy Cross College,Ellenbrook,Wattleup Road,Wattleup
Joondalup Drive,Joondalup,West Coast Highway,Swanbourne
Kwinana Freeway,The Spectacles,West Swan Road,Henley Brook
Leach Highway,Kewdale,Winterfold Primary,Beaconsfield
WEDNESDAY  14 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Albany Highway,Maddington,Marmion Avenue,Mullaloo
Albany Highway,Bedfordale,Marmion Avenue,Merriwa
Anketell Road,Oakford,Moore Drive,Joondalup
Beechboro Road North,Whiteman,Morley Senior High,Noranda
Berwick Street,East Victoria Park,Nicholson Road,Canning Vale
Brookton Highway,Kelmscott,Nollamara Avenue,Nollamara
Caladenia Primary,Canning Vale,North Lake Road,Winthrop
Canning Highway,Como,Ocean Reef Road,Pearsall
Canning Road,Carmel,Oceanic Drive,City Beach
Cedric Street,Innaloo,Patterson Road,Kwinana Beach
Coldwell Road,Kenwick,Pinjar Road,Ashby
Curtin Avenue,Cottesloe,Pinjarra Road,Greenfields
Divine Mercy College,Yangebup,Reid Highway,Noranda
Dudley Park Primary,Dudley Park,Reid Highway,Mirrabooka
East Butler Primary,Butler,Rockingham Road,Naval Base
East Hamilton Hill Primary,Hamilton Hill,Roe Highway,Midvale
Forrest Road,Hamilton Hill,Russell Road,Hammond Park
Gooseberry Hill Road,Gooseberry Hill,Scarborough Beach Road,Doubleview
Great Eastern Highway,Parkerville,Shenton Avenue,Iluka
Hartman Drive,Wangara,South Street,Kardinya
Hodges Drive,Connolly,South Western Highway,Mount Richon
Hopkinson Road,Byford,Spearwood Avenue,Bibra Lake
Kalamunda Road,Maida Vale,St Anthonys Primary,Greenmount
Kwinana Freeway,Success,Stirling Highway,Claremont
Kwinana Freeway,Baldivis,Stoneville Road,Stoneville
Labouchere Road,Como,Tonkin Highway,Champion Lakes
Lesmurdie Primary,Lesmurdie,Tonkin Highway,Forrestdale
Lord Street,Brabham,Wanneroo Road,Ashby
Mandurah Road,Waikiki,West Coast Highway,City Beach
Manning Road,Manning,Willandra Primary,Seville Grove
THURSDAY  15 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Bambara Primary,Padbury,Mitchell Freeway,Padbury
Bannister Creek Primary,Lynwood,Mundaring Weir Road,Mundaring
Bannister Road,Canning Vale,Murdoch Drive,Winthrop
Beach Road,Watermans Bay,North Lake Road,Coolbellup
Berkshire Road,Forrestfield,Orrong Road,Lathlain
Broun Avenue,Morley,Orrong Road,Carlisle
Canning Highway,Attadale,Powis Street,Glendalough
Carey College,Harrisdale,Ranford Road,Canning Vale
Carine Senior High,Carine,Reynolds Road,Mount Pleasant
Cedric Street,Balcatta,Rockingham Road,Munster
