MONDAY 17 APRIL 2017,,,
Street Name,Suburb,Street Name,Suburb
Albany Highway,Bedfordale,Mitchell Freeway,Joondalup
Brookton Highway,Roleystone,Rockingham Road,Kwinana Beach
Brookton Highway,Kelmscott,Rockingham Road,Naval Base
Forrest Highway,West Pinjarra,Safety Bay Road,Baldivis
Forrest Highway,Ravenswood,South Western Highway,Serpentine
Great Eastern Highway,The Lakes,South Western Highway,Byford
Great Eastern Highway,Mundaring,Tonkin Highway,Southern River
Great Northern Highway,Bullsbrook,Toodyay Road,Gidgegannup
Great Northern Highway,Upper Swan,Toodyay Road,Red Hill
Kwinana Freeway,Baldivis,Wanneroo Road,Yanchep
Mandurah Road,Port Kennedy,Wanneroo Road,Nowergup
Mandurah Road,Warnbro,,
TUESDAY 18 APRIL 2017,,,
Street Name,Suburb,Street Name,Suburb
Beach Road,Mirrabooka,North Lake Road,Coolbellup
Beechboro Road North,Noranda,North Street,Mount Lawley
Bibra Drive,Bibra Lake,Ocean Reef Road,Ocean Reef
Bickley Road,Kenwick,Orrong Road,Welshpool
Canning Road,Walliston,Port Kennedy Drive,Port Kennedy
Corfield Street,Gosnells,Preston Point Road,Bicton
Dixon Road,Rockingham,Reid Highway,Carine
East Parade,East Perth,Rockingham Road,Hamilton Hill
Ennis Avenue,Waikiki,Russell Road,Beeliar
Forrest Road,Coolbellup,Scarborough Beach Road,Scarborough
Fremantle Road,Gosnells,Shenton Avenue,Connolly
Great Eastern Highway,Hovea,South Street,Beaconsfield
Guildford Road,Bayswater,South Western Highway,Armadale
Hodges Drive,Connolly,Southern River Road,Southern River
Kalamunda Road,Maida Vale,Stirling Highway,North Fremantle
Kwinana Freeway,Stake Hill,Tapper Road,Banjup
Leach Highway,Kewdale,The Boulevard,Floreat
Leach Highway,Palmyra,Thomas Street,Subiaco
Lesmurdie Road,Lesmurdie,Tonkin Highway,Orange Grove
Lloyd Street,Middle Swan,Wanneroo Road,Wangara
Marmion Avenue,North Beach,Warton Road,Canning Vale
Marmion Avenue,Craigie,Warwick Road,Greenwood
Moore Drive,Joondalup,Welshpool Road East,Lesmurdie
Morley Drive East,Lockridge,Wilfred Road,Thornlie
WEDNESDAY 19 APRIL 2017,,,
Street Name,Suburb,Street Name,Suburb
